1<>down<>general<>A play, starting when the ball is put into play and ending when the ball is ruled dead<>
2<>drive<>general<>The series of plays when the offense has the football, until it punts or scores and the other team gets possession of the ball.<>
3<>field goal<>event<>A kick, worth three points<>f4nkickgoal.png
4<>fumble<>event<>The act of losing possession of the ball while running with it or being tackled.<>
5<>turnover<>event<>A loss of possession of the ball via a fumble or interception.<>
6<>incomplete pass<>general<>A pass that touches the ground before being caught or that is caught while the player is out of bounds<>
7<>interception<>event<>A pass that's caught by a defensive player, ending the offense's possession of the ball.<>
8<>kickoff<>event<>A free kick that puts the ball into play.<>
9<>punt<>general<>A kick made when a punter drops the ball and kicks it while it falls toward his foot.<>
10<>return<>general<>The act of bringing the ball back in the opposite direction after a change of possession.<>
11<>rush<>event<>To advance the ball by running, not passing<>
12<>sack<>event<>Any tackle of the quarterback behind the line of scrimmage.<>
584<>Dakota Conwell<>player<><>
585<>Michael Cooper<>player<><>
586<>Dylan Cozens<>player<><>
587<>Tyler D'Amore<>player<><>
588<>Lamar De Rego<>player<><>
589<>B.J. Denker<>player<><>
590<>C.J. Dozier<>player<><>
591<>Kyle Dugandzic<>player<><>
592<>Fabbians Ebbele<>player<><>
593<>Josh Elias<>player<><>
594<>Trevor Ermisch<>player<><>
595<>Tyler Ermisch<>player<><>
596<>Faitele Faafoi<>player<><>
597<>Jake Fischer<>player<><>
598<>Marquis Flowers<>player<><>
599<>Clive Georges<>player<><>
600<>Reggie Gilbert<>player<><>
601<>Devin Gordon<>player<><>
602<>Chase Gorham<>player<><>
603<>Jourdon Grandon<>player<><>
604<>Trey Griffey<>player<><>
605<>T.D. Gross<>player<><>
606<>Adam Hall<>player<><>
607<>Rob Hankins<>player<><>
608<>Bryan Harper<>player<><>
609<>Zach Hemmila<>player<><>
610<>Austin Hill<>player<><>
611<>Hank Hobson<>player<><>
612<>Keahi Hogan<>player<><>
613<>Tevin Hood<>player<><>
614<>Cody Ippolito<>player<><>
615<>Nick Isham<>player<><>
616<>Johnny Jackson<>player<><>
617<>Sir Thomas Jackson<>player<><>
618<>Daniel Jenkins<>player<><>
619<>Tim Johnston<>player<><>
620<>Terris Jones<>player<><>
621<>Kyle Kelley<>player<><>
622<>Josh Kern<>player<><>
623<>Carter Lees<>player<><>
624<>Anthony Lopez<>player<><>
625<>David Lopez<>player<><>
626<>Lene Maiava<>player<><>
627<>Luis Martinez<>player<><>
628<>Jonathan McKnight<>player<><>
629<>Dwight Melvin<>player<><>
630<>Chris Merrill<>player<><>
631<>Vince Miles<>player<><>
632<>Terrence Miller<>player<><>
633<>Willie Mobley<>player<><>
634<>Richard Morrison<>player<><>
635<>Brendan Murphy<>player<><>
636<>Dame Ndiaye<>player<><>
637<>Greg Nwoko<>player<><>
638<>Jack Nykaza<>player<><>
639<>Patrick Onwuasor<>player<><>
640<>Jesse Ortiz<>player<><>
641<>Kyrel Parker<>player<><>
642<>William Parks<>player<><>
643<>Lucas Petrullo<>player<><>
644<>Dan Pettinato<>player<><>
645<>Brandon Porter<>player<><>
646<>Chris Putton<>player<><>
647<>Kyle Quinn<>player<><>
648<>Derrick Rainey<>player<><>
649<>David Richards<>player<><>
650<>Shaquille Richardson<>player<><>
651<>Drew Riggleman<>player<><>
652<>Drew Robinson<>player<><>
653<>Jaime Salazar<>player<><>
654<>Justin Samuels<>player<><>
655<>Yamen Sanders<>player<><>
656<>Matt Scott<>player<><>
657<>Casey Skowron<>player<><>
658<>Tyler Slavin<>player<><>
659<>Jake Smith<>player<><>
660<>Connor Sohns<>player<><>
661<>Trent Spurgeon<>player<><>
662<>Ben Sullivan<>player<><>
663<>Kirifi Taula<>player<><>
664<>Elliott Taylor<>player<><>
665<>Jared Tevis<>player<><>
666<>Leo Thomas<>player<><>
667<>Sione Tuihalamaka<>player<><>
668<>Taimi Tutogi<>player<><>
669<>Christian Upshaw<>player<><>
670<>Brian Wagner<>player<><>
671<>Jowyn Ward<>player<><>
672<>J.T. Washington<>player<><>
673<>Justin Washington<>player<><>
674<>Mark Watley<>player<><>
675<>Garic Wharton<>player<><>
676<>Aaron White<>player<><>
677<>Sean Willet<>player<><>
678<>Shadow Williams<>player<><>
679<>Carter Wood<>player<><>
680<>Shane Zink<>player<><>
681<>Donta Abron<>player<><>
682<>Cordary Allen<>player<><>
683<>Isaac Archuleta<>player<><>
684<>Vincent Arvia<>player<><>
685<>David Bagby<>player<><>
686<>David Bakhtiari<>player<><>
687<>Jered Bell<>player<><>
688<>Nate Bonsu<>player<><>
689<>Brandan Brisco<>player<><>
